OBJECTID_1	OBJECTID	Shape_Leng	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_12	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12_13	OBJECTID_12_13_14	Shape_Leng_1	ORIG_FID_1	RASTERVALU	X	Y
56	56	16.62417979	56	5.291717304	16.62471364	21.9937094	73	2	56	772321.2454	73	56	60	51.64926098	56	-1931	-5935679	1023712.938
57	57	20.78032898	57	6.614652273	20.78023915	34.3630116	241	2	57	772575.346	241	57	61	60.85025061	57	-1931	-5935965.5	1023652.75
58	58	40.35479324	58	16.18350832	50.8419647	205.7002339	256	2	58	772595.3676	256	58	62	33.4084371	58	-1931	-5935984	1023649.813
59	59	46.32862879	59	21.68504991	68.12575085	369.32843	163	2	59	772465.433	163	59	63	99.90443019	59	-1931	-5935774	1023874.688
60	60	12.79242186	60	5.689569966	17.87440556	25.42455447	78	2	60	772333.0702	78	60	64	81.88172719	60	-1946	-5935774.5	1023512.813
61	61	33.24855076	61	10.58344552	33.24857313	87.97031769	35	2	61	772179.3109	35	61	65	20.78019939	61	-1946	-5935646	1023397.063
62	62	44.26576865	62	14.09031953	44.26582138	155.9291066	47	2	62	772217.9003	47	62	66	18.58667333	62	-1946	-5935686	1023396.063
63	63	42.63768629	63	19.73330775	61.99399031	305.8365022	79	2	63	772333.3543	79	63	67	60.05479868	63	-1931	-5935708.5	1023670.938
64	64	22.21918134	64	8.04336	25.26877219	50.81107884	117	2	64	772397.2182	117	64	68	39.51579727	64	-1931	-5935768	1023679.438
65	65	17.35644846	65	5.524811609	17.35644865	23.97241965	101	2	65	772381.9096	101	65	69	78.76814748	65	-1931	-5935769.5	1023651.625
66	66	17.98179669	66	5.723858468	17.98184885	25.73112779	29	2	66	772154.5033	29	66	70	40.24332864	66	-1949	-5935518	1023676
67	67	10.64481321	67	3.388417873	10.64478055	9.017030963	30	2	67	772155.0624	30	67	71	43.50969899	67	-1949	-5935508	1023704.813
68	68	13.11975661	68	4.176235475	13.11975893	13.69751693	16	2	68	772113.1476	16	68	72	69.60420974	68	-1949	-5935476	1023686.313
69	69	17.73564295	69	7.267929598	22.83309541	41.48773436	23	2	69	772138.217	23	69	73	47.31339133	69	-1949	-5935465	1023774.938
70	70	37.42223233	70	13.61860414	42.78409371	145.6648646	20	2	70	772134.6259	20	70	74	45.22291078	70	-1949	-5935468	1023755.125
71	71	28.31028416	71	9.011554587	28.31084241	63.78164566	34	2	71	772165.8282	34	71	75	55.03364699	71	-1949	-5935515	1023716.313
