OBJECTID	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	ORIG_FID_1	RASTERVALU	X	Y
148	157	5.824127854	18.29728542	26.64179372	181	2	157	1064520.961	181	148	157	-155	-5962209	1275504.5
149	158	27.49289079	86.37133411	593.6485232	173	2	158	1064426.864	173	149	158	-165	-5962159.5	1275425
150	160	31.50927493	98.98924892	779.7694101	171	2	160	1064358.869	171	150	160	-155	-5962072	1275447.5
151	161	11.17584334	35.10968173	98.0943336	183	2	161	1064525.993	183	151	161	-155	-5962210.5	1275514.125
152	162	8.067380056	25.34435534	51.11550242	184	2	162	1064533.39	184	152	162	-157	-5962217.5	1275516.75
153	163	32.41187376	101.8246728	825.0802322	174	2	163	1064451.215	174	153	163	-165	-5962188.5	1275425.875
154	164	23.8146965	74.81637032	445.4340429	179	2	164	1064506.263	179	154	164	-167	-5962307.5	1275313.5
155	165	26.7519208	84.04357251	562.0813118	177	2	165	1064497.557	177	155	165	-167	-5962288.5	1275331.625
156	166	139.0526775	436.8469289	15186.18582	140	2	166	1063946.5	140	156	166	-176	-5962151	1274575.5
157	167	28.11528411	88.32704077	620.8368645	130	2	167	1063817.975	130	157	167	-176	-5961965.5	1274564.625
158	168	18.79954651	59.06030339	277.5757252	128	2	168	1063783.393	128	158	168	-176	-5961896.5	1274623.125
159	169	33.12908209	104.077823	861.9985497	116	2	169	1063673.626	116	159	169	-176	-5961805	1274581.125
160	170	17.02689332	53.49126979	227.6962881	124	2	170	1063750.632	124	160	170	-176	-5961867.5	1274607.75
161	171	27.15417878	85.30736791	579.1128754	115	2	171	1063673.359	115	161	171	-173	-5961777	1274623.75
162	172	34.13020173	107.2231541	914.8866544	108	2	172	1063653.13	108	162	172	-173	-5961764	1274607.25
163	173	11.07240261	34.78497049	96.28827682	120	2	173	1063708.556	120	163	173	-176	-5961800	1274641.375
164	174	49.5061896	155.5285464	1924.909704	103	2	174	1063607.994	103	164	174	-173	-5961770.5	1274526.875
165	175	17.65329753	55.45949881	244.7608863	126	2	175	1063762.867	126	165	175	-162	-5961616	1275095
166	176	26.64277845	83.70094094	557.5076312	127	2	176	1063775.415	127	166	176	-162	-5961627	1275103.125
167	177	14.74612467	46.32606114	170.7815253	129	2	177	1063800.971	129	167	177	-162	-5961648	1275107.375
168	178	48.48385161	152.3165581	1846.223908	131	2	178	1063821.573	131	168	178	-162	-5961679.5	1275110.625
169	179	63.74453781	200.2591904	3191.354493	135	2	179	1063848.217	135	169	179	-162	-5961710.5	1275118.625
170	180	66.88437231	210.1236573	3513.500653	136	2	180	1063856.77	136	170	180	-162	-5961742.5	1275073.75
171	181	29.19081803	91.70554551	669.2391412	96	2	181	1063560.861	96	171	181	-162	-5961456	1274991.75
172	182	34.88833782	109.6049151	955.9830588	121	2	182	1063708.687	121	172	182	-188	-5962108.5	1274086.25
173	183	16.6010919	52.1537649	216.4519316	118	2	183	1063691.681	118	173	183	-188	-5962069.5	1274109.875
174	184	13.16522509	41.35997906	136.129032	110	2	184	1063656.353	110	174	184	-188	-5962044	1274091.75
175	185	11.33752154	35.61761078	100.9531102	113	2	185	1063671.086	113	175	185	-188	-5962055.5	1274097
176	186	10.98883712	34.52228793	94.8395046	112	2	186	1063664.065	112	176	186	-188	-5962043.5	1274105.25
177	187	9.468686487	29.74652124	70.41456544	109	2	187	1063654.46	109	177	187	-188	-5962035.5	1274100.25
178	188	17.67413078	55.5248074	245.3376819	123	2	188	1063740.027	123	178	188	-188	-5962137	1274090.75
179	189	34.87769237	109.5718102	955.4056592	122	2	189	1063723.838	122	179	189	-188	-5962139	1274068
180	190	48.74655087	153.1419813	1866.287979	134	2	190	1063839.934	134	180	190	-190	-5962256	1274096.125
181	191	11.85030383	37.22895047	110.293958	107	2	191	1063650.674	107	181	191	-162	-5961359	1275334
182	192	8.935972268	28.07311799	62.71500165	105	2	192	1063645.989	105	182	192	-162	-5961350.5	1275339.75
183	193	6.845429909	21.50523896	36.80261524	104	2	193	1063638.845	104	183	193	-162	-5961351	1275323.5
184	194	46.42396062	145.8452846	1692.680225	125	2	194	1063756.817	125	184	194	-162	-5961488.5	1275340.5
