OBJECTID	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	ORIG_FID_1	RASTERVALU	X	Y	OBJECTID_12_13	Shape_Length_1	Shape_Area_1	Color
113	113	8.241197147	25.89017922	53.340889	106	2	113	884624.8124	106	113	113	-757	-5730446.5	1314267.5	113	23.8919345	40.13125286	
114	114	31.76813494	99.80253933	792.635134	42	2	114	883710.7924	42	114	114	-749	-5728981.5	1314707.625	114	99.80253933	792.635134	4
115	115	11.97606293	37.62391132	112.6465824	33	2	115	883635.8811	33	115	115	-766	-5728826.5	1314770.5	115	37.62391132	112.6465824	4
116	116	39.59146587	124.3799666	1231.093412	37	2	116	883671.4075	37	116	116	-749	-5728925.5	1314716.5	116	106.5670353	862.1864962	4
117	117	25.43926354	79.91980345	508.2752356	35	2	117	883651.1957	35	117	117	-749	-5728882	1314735	117	79.91980345	508.2752355	4
118	118	27.80140608	87.3406576	607.0480256	53	2	118	883774.3842	53	118	118	-766	-5728984.5	1314790.875	118	68.12643909	317.0776342	4
119	119	31.39149299	98.61928376	773.9516387	84	2	119	884329.3391	84	119	119	-779	-5729669.5	1314801.25	119	98.61928376	773.9516387	4
120	120	15.07675463	47.36502159	178.5277022	72	2	120	884151.0171	72	120	120	-757	-5729556	1314655.625	120	47.36502159	178.5277022	3
121	121	16.81421945	52.8231318	222.0436862	75	2	121	884166.393	75	121	121	-764	-5729627.5	1314586.5	121	42.59120614	129.978251	3
122	122	20.24002457	63.58586294	321.7446063	79	2	122	884191.5382	79	122	122	-764	-5729627.5	1314631.75	122	49.17573117	162.7953334	3
123	123	14.96263435	47.00650216	175.835276	81	2	123	884222.9161	81	123	123	-757	-5729568	1314751.375	123	47.00650215	175.8352759	4
124	124	12.74029933	40.02483077	127.4820812	80	2	124	884201.7237	80	124	124	-757	-5729541.5	1314749.75	124	40.02483077	127.4820812	4
125	125	33.31288466	104.6552158	871.589303	23	2	125	883486.2041	23	125	125	-761	-5728638	1314784.875	125	84.54539245	513.3750102	4
126	126	27.67669006	86.94900933	601.6160477	39	2	126	883683.5722	39	126	126	-749	-5729070.5	1314551.625	126	73.18380281	401.076229	2
127	127	31.62128974	99.34122865	785.3245787	41	2	127	883697.5998	41	127	127	-749	-5729063	1314586	127	89.22735831	620.5867379	2
128	128	21.2017362	66.60721869	353.04717	56	2	128	883819.2895	56	128	128	-749	-5729153.5	1314651.5	128	66.60721869	353.04717	2
129	129	43.66341696	137.17267	1497.356871	45	2	129	883753.8342	45	129	129	-749	-5729114	1314617.75	129	137.17267	1497.356871	5
130	130	35.61010049	111.8724301	995.9471194	28	2	130	883603.1805	28	130	130	-766	-5728797.5	1314774.5	130	111.8724301	995.9471193	2
131	131	23.0341028	72.36375934	416.7085173	27	2	131	883540.0508	27	131	131	-749	-5728799	1314663.75	131	63.30100409	273.7151057	2
132	132	13.97935353	43.91727083	153.4831923	25	2	132	883528.299	25	132	132	-749	-5728783	1314657.5	132	38.27257888	112.5029736	2
133	133	39.502718	124.1014487	1225.586132	24	2	133	883503.886	24	133	133	-749	-5728814.5	1314603	133	124.1014487	1225.586132	5
134	134	48.05654629	150.9740861	1813.82321	22	2	134	883441.3508	22	134	134	-744	-5728626	1314747.25	134	139.1639502	1373.749204	2
135	135	14.9828283	47.06963056	176.3078767	29	2	135	883608.0955	29	135	135	-749	-5728816.5	1314742.375	135	39.80053809	119.1691676	2
136	136	10.58739823	33.26109693	88.03660203	30	2	136	883614.4624	30	136	136	-749	-5728811	1314755.5	136	30.35608422	72.2876292	2
137	137	23.65987506	74.32954324	439.6560604	38	2	137	883676.5941	38	137	137	-766	-5728887	1314762.5	137	63.08037991	299.9685399	2
138	138	15.22669293	47.83632843	182.0982675	32	2	138	883626.8149	32	138	138	-749	-5728837	1314744.25	138	37.72323726	98.91649471	2
139	139	49.50897069	155.5373325	1925.127194	43	2	139	883726.9837	43	139	139	-745	-5729350	1314285	139	135.3951085	1295.749004	2
140	140	50.25963397	157.895498	1983.945011	46	2	140	883756.3095	46	140	140	-757	-5729300.5	1314384.625	140	124.4926874	902.0484683	2
141	141	87.02939687	273.4110916	5948.704468	49	2	141	883767.247	49	141	141	-757	-5729229.5	1314528.375	141	269.5505056	4238.414223	2
142	142	23.76842941	74.67058997	443.6998699	58	2	142	883840.5884	58	142	142	-757	-5729322	1314473.25	142	65.8669802	335.4489905	2
143	143	32.19371747	101.1397295	814.017443	44	2	143	883733.2794	44	143	143	-749	-5729142.5	1314535.875	143	86.23090743	478.3461665	2
144	144	46.73921377	146.8355651	1715.744653	54	2	144	883784.7459	54	144	144	-757	-5729180	1314581.625	144	135.223929	1273.950161	3
145	145	44.77874536	140.6765775	1574.83016	47	2	145	883763.558	47	145	145	-757	-5729251.5	1314461.625	145	140.6765775	1574.83016	5
146	146	14.78639178	46.4528198	171.7173982	71	2	146	884150.7027	71	146	146	-757	-5729471	1314760.875	146	46.4528198	171.7173982	3
147	147	25.50418881	80.12400679	510.8759451	74	2	147	884166.0091	74	147	147	-757	-5729536.5	1314705.375	147	68.1185756	350.2775186	3
148	148	39.14845076	122.9884574	1203.70162	70	2	148	884140.7309	70	148	148	-757	-5729495.5	1314732.125	148	103.7077887	806.6436776	4
149	149	14.19801494	44.60437942	158.3234113	68	2	149	884108.5473	68	149	149	-775	-5729405.5	1314777.5	149	44.60437943	158.3234113	3
150	150	18.63593828	58.54632048	272.7654426	40	2	150	883694.8963	40	150	150	-766	-5728755.5	1314951.125	150	47.98846465	168.1624047	2
151	151	19.01433803	59.73503721	283.954276	36	2	151	883656.0662	36	151	151	-761	-5728700.5	1314963.375	151	58.57253732	272.8523623	2
152	152	13.55955618	42.59860207	144.4045344	31	2	152	883623.6111	31	152	152	-761	-5728692	1314920.5	152	42.59860206	144.4045344	2
153	153	16.56902714	52.05313394	215.6174472	51	2	153	883769.2058	51	153	153	-766	-5728820	1314987.25	153	52.05313394	215.6174472	2
154	154	20.07416918	63.06499782	316.4950384	48	2	154	883766.764	48	154	154	-766	-5728796.5	1315014.625	154	52.85335114	208.422667	2
155	155	31.35504896	98.50494951	772.1581175	57	2	155	883824.8633	57	155	155	-766	-5728876.5	1315009.875	155	74.15825056	350.5491862	2
