OBJECTID	Id	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_1	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12	Id_1	ORIG_FID_1	RASTERVALU	X	Y
165	0	165	32.13421434	100.9525666	811.0074918	66	2	165	824632.9269	66	165	0	165	-676	-5697704.5	1262444.375
166	0	166	20.72486837	65.10908251	337.3442305	68	2	166	824675.4734	68	166	0	166	-658	-5697664	1262558.125
167	0	167	6.766474802	21.25727254	35.95880223	70	2	167	824743.6353	70	167	0	167	-658	-5697740	1262555.625
168	0	168	17.33092164	54.44694228	235.9049892	76	2	168	824789.4177	76	168	0	168	-658	-5697703	1262685.5
169	0	169	12.00814438	37.72455875	113.2500685	87	2	169	824836.5938	87	169	0	169	-685	-5698024	1262336.875
170	0	170	8.092399999	25.42302439	51.43332064	88	2	170	824849.1819	88	170	0	170	-685	-5698025.5	1262351.5
171	0	171	28.458312	89.40470037	636.0786813	114	2	171	826896.0984	114	171	0	171	-760	-5698058.5	1265557.125
172	0	172	18.29914979	57.48863229	262.998995	116	2	172	826929.6207	116	172	0	172	-760	-5698078	1265572.75
173	0	173	17.69400167	55.58765457	245.8933797	115	2	173	826917.401	115	173	0	173	-760	-5698056	1265585.5
174	0	174	15.15852654	47.6221464	180.4712671	117	2	174	826931.5098	117	174	0	174	-760	-5698055.5	1265605.875
175	0	175	23.3545365	73.37065541	428.3856685	113	2	175	826759.0165	113	175	0	175	-760	-5697930	1265498.25
176	0	176	5.758895676	18.09211794	26.0476745	140	2	176	829006.8548	140	176	0	176	-912	-5698735.5	1267984.5
